,step,metric,value
0,0,hp_metric,-1.0
1,49,train_loss_step,1.5135674476623535
2,99,train_loss_step,1.4227827787399292
3,149,train_loss_step,1.3583201169967651
4,199,train_loss_step,1.2472796440124512
5,249,train_loss_step,1.2232420444488525
6,299,train_loss_step,1.3578492403030396
7,349,train_loss_step,1.0759742259979248
8,399,train_loss_step,1.1679036617279053
9,449,train_loss_step,1.0762696266174316
10,499,train_loss_step,1.1459449529647827
11,549,train_loss_step,1.0840550661087036
12,599,train_loss_step,1.3024665117263794
13,649,train_loss_step,1.1411197185516357
14,699,train_loss_step,1.0499067306518555
15,749,train_loss_step,1.0156952142715454
16,799,train_loss_step,1.1415297985076904
17,849,train_loss_step,1.1197713613510132
18,899,train_loss_step,1.075905203819275
19,949,train_loss_step,0.9641447067260742
20,999,train_loss_step,1.0119686126708984
21,1049,train_loss_step,0.950149655342102
22,1099,train_loss_step,0.9417545795440674
23,1149,train_loss_step,0.942301869392395
24,1199,train_loss_step,0.995530903339386
25,1249,train_loss_step,0.9561999440193176
26,1299,train_loss_step,0.9727554321289062
27,1349,train_loss_step,1.006801724433899
28,1399,train_loss_step,1.0041108131408691
29,1449,train_loss_step,0.9460366368293762
30,1499,train_loss_step,1.049662470817566
31,1549,train_loss_step,0.9020073413848877
32,1599,train_loss_step,1.0029528141021729
33,1649,train_loss_step,1.0884455442428589
34,1699,train_loss_step,0.8918646574020386
35,1749,train_loss_step,0.9423215985298157
36,1799,train_loss_step,1.0127642154693604
37,1849,train_loss_step,1.2328898906707764
38,1899,train_loss_step,0.8320941925048828
39,1949,train_loss_step,0.8752129077911377
40,1999,train_loss_step,0.9815436601638794
41,2049,train_loss_step,0.7804135084152222
42,2099,train_loss_step,0.8831135630607605
43,2149,train_loss_step,1.0285404920578003
44,2199,train_loss_step,1.0947760343551636
45,2249,train_loss_step,0.9908215403556824
46,2299,train_loss_step,0.8708201050758362
47,2349,train_loss_step,0.9201481342315674
48,2399,train_loss_step,0.8036504983901978
49,49,epoch,0.0
50,71,epoch,0.0
51,71,epoch,0.0
52,99,epoch,1.0
53,143,epoch,1.0
54,143,epoch,1.0
55,149,epoch,2.0
56,199,epoch,2.0
57,215,epoch,2.0
58,215,epoch,2.0
59,249,epoch,3.0
60,287,epoch,3.0
61,287,epoch,3.0
62,299,epoch,4.0
63,349,epoch,4.0
64,359,epoch,4.0
65,359,epoch,4.0
66,399,epoch,5.0
67,431,epoch,5.0
68,431,epoch,5.0
69,449,epoch,6.0
70,499,epoch,6.0
71,503,epoch,6.0
72,503,epoch,6.0
73,549,epoch,7.0
74,575,epoch,7.0
75,575,epoch,7.0
76,599,epoch,8.0
77,647,epoch,8.0
78,647,epoch,8.0
79,649,epoch,9.0
80,699,epoch,9.0
81,719,epoch,9.0
82,719,epoch,9.0
83,749,epoch,10.0
84,791,epoch,10.0
85,791,epoch,10.0
86,799,epoch,11.0
87,849,epoch,11.0
88,863,epoch,11.0
89,863,epoch,11.0
90,899,epoch,12.0
91,935,epoch,12.0
92,935,epoch,12.0
93,949,epoch,13.0
94,999,epoch,13.0
95,1007,epoch,13.0
96,1007,epoch,13.0
97,1049,epoch,14.0
98,1079,epoch,14.0
99,1079,epoch,14.0
100,1099,epoch,15.0
101,1149,epoch,15.0
102,1151,epoch,15.0
103,1151,epoch,15.0
104,1199,epoch,16.0
105,1223,epoch,16.0
106,1223,epoch,16.0
107,1249,epoch,17.0
108,1295,epoch,17.0
109,1295,epoch,17.0
110,1299,epoch,18.0
111,1349,epoch,18.0
112,1367,epoch,18.0
113,1367,epoch,18.0
114,1399,epoch,19.0
115,1439,epoch,19.0
116,1439,epoch,19.0
117,1449,epoch,20.0
118,1499,epoch,20.0
119,1511,epoch,20.0
120,1511,epoch,20.0
121,1549,epoch,21.0
122,1583,epoch,21.0
123,1583,epoch,21.0
124,1599,epoch,22.0
125,1649,epoch,22.0
126,1655,epoch,22.0
127,1655,epoch,22.0
128,1699,epoch,23.0
129,1727,epoch,23.0
130,1727,epoch,23.0
131,1749,epoch,24.0
132,1799,epoch,24.0
133,1799,epoch,24.0
134,1799,epoch,24.0
135,1849,epoch,25.0
136,1871,epoch,25.0
137,1871,epoch,25.0
138,1899,epoch,26.0
139,1943,epoch,26.0
140,1943,epoch,26.0
141,1949,epoch,27.0
142,1999,epoch,27.0
143,2015,epoch,27.0
144,2015,epoch,27.0
145,2049,epoch,28.0
146,2087,epoch,28.0
147,2087,epoch,28.0
148,2099,epoch,29.0
149,2149,epoch,29.0
150,2159,epoch,29.0
151,2159,epoch,29.0
152,2199,epoch,30.0
153,2231,epoch,30.0
154,2231,epoch,30.0
155,2249,epoch,31.0
156,2299,epoch,31.0
157,2303,epoch,31.0
158,2303,epoch,31.0
159,2349,epoch,32.0
160,2375,epoch,32.0
161,2375,epoch,32.0
162,2399,epoch,33.0
163,2447,epoch,33.0
164,2447,epoch,33.0
165,71,val_loss,1.4021292924880981
166,143,val_loss,1.2595196962356567
167,215,val_loss,1.4118386507034302
168,287,val_loss,1.2967575788497925
169,359,val_loss,1.5114684104919434
170,431,val_loss,1.2334470748901367
171,503,val_loss,1.3257020711898804
172,575,val_loss,1.1207479238510132
173,647,val_loss,1.2232733964920044
174,719,val_loss,1.3282593488693237
175,791,val_loss,1.2030752897262573
176,863,val_loss,1.0436393022537231
177,935,val_loss,1.1766740083694458
178,1007,val_loss,1.185144066810608
179,1079,val_loss,1.0919958353042603
180,1151,val_loss,1.2092446088790894
181,1223,val_loss,1.1125754117965698
182,1295,val_loss,
183,1367,val_loss,1.0360524654388428
184,1439,val_loss,1.008020281791687
185,1511,val_loss,1.1234372854232788
186,1583,val_loss,1.3334293365478516
187,1655,val_loss,1.0857259035110474
188,1727,val_loss,0.915249764919281
189,1799,val_loss,1.0008376836776733
190,1871,val_loss,1.029811978340149
191,1943,val_loss,1.0594955682754517
192,2015,val_loss,0.9655163288116455
193,2087,val_loss,0.9933933615684509
194,2159,val_loss,1.253352403640747
195,2231,val_loss,1.0352033376693726
196,2303,val_loss,1.0182002782821655
197,2375,val_loss,1.1115211248397827
198,2447,val_loss,0.8705840110778809
199,71,val/iou_class_0,0.0
200,143,val/iou_class_0,0.0
201,215,val/iou_class_0,0.0
202,287,val/iou_class_0,0.0
203,359,val/iou_class_0,0.0
204,431,val/iou_class_0,0.05257246270775795
