,fraction,seed,mIoU,pixel_accuracy,macro_precision,macro_recall,macro_f1
0,0.01,42,0.3498125076293945,0.6450133919715881,0.4927995502948761,0.4651334583759308,0.4574363231658935
1,0.05,42,0.4390083253383636,0.7163951396942139,0.5791663527488708,0.5471137762069702,0.5488043427467346
2,0.1,42,0.39009690284729,0.6785270571708679,0.5320123434066772,0.5063645839691162,0.5019157528877258
3,0.2,42,0.3883900940418243,0.6604148745536804,0.5116737484931946,0.5011782050132751,0.4974931478500366
4,0.01,43,0.4552026987075805,0.7303142547607422,0.5813897252082825,0.5559915900230408,0.5593906044960022
5,0.05,43,0.3235324025154114,0.6243780255317688,0.4463028907775879,0.4362752735614776,0.42915940284729
6,0.1,43,0.3513496816158294,0.6525894999504089,0.4834289252758026,0.465366393327713,0.4579607248306274
7,0.2,43,0.4299472272396087,0.7217431664466858,0.5685326457023621,0.5357185006141663,0.5383059978485107
8,0.01,44,0.3716788291931152,0.6733208298683167,0.5004032850265503,0.4813992977142334,0.4771141111850738
9,0.05,44,0.4552026987075805,0.7303142547607422,0.5813897252082825,0.5559915900230408,0.5593906044960022
10,0.1,44,0.344045490026474,0.6457396745681763,0.4907476603984833,0.4468846619129181,0.4483810663223266
11,0.2,44,0.3264041841030121,0.6110180020332336,0.4616540968418121,0.4458759129047394,0.4334127604961395
