,step,metric,value
0,0,hp_metric,-1.0
1,49,train_loss_step,1.4612042903900146
2,99,train_loss_step,1.295167088508606
3,149,train_loss_step,1.400551199913025
4,199,train_loss_step,1.1703276634216309
5,249,train_loss_step,1.2447521686553955
6,299,train_loss_step,1.153886079788208
7,349,train_loss_step,1.1209819316864014
8,399,train_loss_step,1.3973162174224854
9,449,train_loss_step,1.2405550479888916
10,499,train_loss_step,1.1965733766555786
11,549,train_loss_step,1.27010178565979
12,599,train_loss_step,1.0461835861206055
13,649,train_loss_step,1.0901596546173096
14,699,train_loss_step,1.3102591037750244
15,749,train_loss_step,1.1841211318969727
16,799,train_loss_step,1.2432008981704712
17,849,train_loss_step,1.012223482131958
18,899,train_loss_step,1.1994316577911377
19,949,train_loss_step,1.1642500162124634
20,999,train_loss_step,0.9838669896125793
21,1049,train_loss_step,0.998469889163971
22,1099,train_loss_step,1.1973214149475098
23,1149,train_loss_step,1.1911015510559082
24,1199,train_loss_step,1.0021897554397583
25,1249,train_loss_step,1.0734498500823975
26,1299,train_loss_step,1.0014759302139282
27,1349,train_loss_step,0.9345359802246094
28,1399,train_loss_step,0.869368314743042
29,1449,train_loss_step,1.0447027683258057
30,1499,train_loss_step,1.0453529357910156
31,1549,train_loss_step,1.0510449409484863
32,1599,train_loss_step,0.9123221039772034
33,1649,train_loss_step,0.9308685064315796
34,1699,train_loss_step,0.9963595271110535
35,1749,train_loss_step,1.0914101600646973
36,1799,train_loss_step,0.9440172910690308
37,1849,train_loss_step,0.8804702162742615
38,1899,train_loss_step,0.9748849868774414
39,1949,train_loss_step,1.3163375854492188
40,1999,train_loss_step,1.0037137269973755
41,49,epoch,0.0
42,71,epoch,0.0
43,71,epoch,0.0
44,99,epoch,1.0
45,143,epoch,1.0
46,143,epoch,1.0
47,149,epoch,2.0
48,199,epoch,2.0
49,215,epoch,2.0
50,215,epoch,2.0
51,249,epoch,3.0
52,287,epoch,3.0
53,287,epoch,3.0
54,299,epoch,4.0
55,349,epoch,4.0
56,359,epoch,4.0
57,359,epoch,4.0
58,399,epoch,5.0
59,431,epoch,5.0
60,431,epoch,5.0
61,449,epoch,6.0
62,499,epoch,6.0
63,503,epoch,6.0
64,503,epoch,6.0
65,549,epoch,7.0
66,575,epoch,7.0
67,575,epoch,7.0
68,599,epoch,8.0
69,647,epoch,8.0
70,647,epoch,8.0
71,649,epoch,9.0
72,699,epoch,9.0
73,719,epoch,9.0
74,719,epoch,9.0
75,749,epoch,10.0
76,791,epoch,10.0
77,791,epoch,10.0
78,799,epoch,11.0
79,849,epoch,11.0
80,863,epoch,11.0
81,863,epoch,11.0
82,899,epoch,12.0
83,935,epoch,12.0
84,935,epoch,12.0
85,949,epoch,13.0
86,999,epoch,13.0
87,1007,epoch,13.0
88,1007,epoch,13.0
89,1049,epoch,14.0
90,1079,epoch,14.0
91,1079,epoch,14.0
92,1099,epoch,15.0
93,1149,epoch,15.0
94,1151,epoch,15.0
95,1151,epoch,15.0
96,1199,epoch,16.0
97,1223,epoch,16.0
98,1223,epoch,16.0
99,1249,epoch,17.0
100,1295,epoch,17.0
101,1295,epoch,17.0
102,1299,epoch,18.0
103,1349,epoch,18.0
104,1367,epoch,18.0
