,step,metric,value
0,0,hp_metric,-1.0
1,49,train_loss_step,1.4436671733856201
2,99,train_loss_step,1.4679286479949951
3,149,train_loss_step,1.244061827659607
4,199,train_loss_step,1.2138607501983643
5,249,train_loss_step,1.1345247030258179
6,299,train_loss_step,1.0927178859710693
7,349,train_loss_step,1.1412588357925415
8,399,train_loss_step,1.0681443214416504
9,449,train_loss_step,1.2779114246368408
10,499,train_loss_step,1.2011953592300415
11,549,train_loss_step,1.0860636234283447
12,599,train_loss_step,1.0678366422653198
13,649,train_loss_step,1.064945936203003
14,699,train_loss_step,1.0566047430038452
15,749,train_loss_step,1.0392944812774658
16,799,train_loss_step,1.099473237991333
17,849,train_loss_step,1.1901782751083374
18,899,train_loss_step,1.190505862236023
19,949,train_loss_step,0.9659110903739929
20,999,train_loss_step,1.002835750579834
21,1049,train_loss_step,1.0524684190750122
22,1099,train_loss_step,1.1236830949783325
23,1149,train_loss_step,1.2556517124176025
24,1199,train_loss_step,1.0518518686294556
25,1249,train_loss_step,0.9558953046798706
26,1299,train_loss_step,0.9169921875
27,1349,train_loss_step,0.9074408411979675
28,1399,train_loss_step,0.9197343587875366
29,1449,train_loss_step,1.0668821334838867
30,1499,train_loss_step,1.0199893712997437
31,1549,train_loss_step,0.9251832365989685
32,1599,train_loss_step,0.9690321683883667
33,1649,train_loss_step,1.0265637636184692
34,1699,train_loss_step,0.918847918510437
35,1749,train_loss_step,1.1707621812820435
36,1799,train_loss_step,1.0096759796142578
37,1849,train_loss_step,0.8082022070884705
38,1899,train_loss_step,0.9281812906265259
39,1949,train_loss_step,0.8111803531646729
40,1999,train_loss_step,0.9865027070045471
41,2049,train_loss_step,1.1121999025344849
42,2099,train_loss_step,0.9927193522453308
43,2149,train_loss_step,0.9762073159217834
44,2199,train_loss_step,0.923446774482727
45,2249,train_loss_step,0.7606273889541626
46,2299,train_loss_step,0.9533689618110657
47,2349,train_loss_step,0.9787759184837341
48,49,epoch,0.0
49,71,epoch,0.0
50,71,epoch,0.0
51,99,epoch,1.0
52,143,epoch,1.0
53,143,epoch,1.0
54,149,epoch,2.0
55,199,epoch,2.0
56,215,epoch,2.0
57,215,epoch,2.0
58,249,epoch,3.0
59,287,epoch,3.0
60,287,epoch,3.0
61,299,epoch,4.0
62,349,epoch,4.0
63,359,epoch,4.0
64,359,epoch,4.0
65,399,epoch,5.0
66,431,epoch,5.0
67,431,epoch,5.0
68,449,epoch,6.0
69,499,epoch,6.0
70,503,epoch,6.0
71,503,epoch,6.0
72,549,epoch,7.0
73,575,epoch,7.0
74,575,epoch,7.0
75,599,epoch,8.0
76,647,epoch,8.0
77,647,epoch,8.0
78,649,epoch,9.0
79,699,epoch,9.0
80,719,epoch,9.0
81,719,epoch,9.0
82,749,epoch,10.0
83,791,epoch,10.0
84,791,epoch,10.0
85,799,epoch,11.0
86,849,epoch,11.0
87,863,epoch,11.0
88,863,epoch,11.0
89,899,epoch,12.0
90,935,epoch,12.0
91,935,epoch,12.0
92,949,epoch,13.0
93,999,epoch,13.0
94,1007,epoch,13.0
95,1007,epoch,13.0
96,1049,epoch,14.0
97,1079,epoch,14.0
98,1079,epoch,14.0
99,1099,epoch,15.0
100,1149,epoch,15.0
101,1151,epoch,15.0
102,1151,epoch,15.0
103,1199,epoch,16.0
104,1223,epoch,16.0
105,1223,epoch,16.0
106,1249,epoch,17.0
107,1295,epoch,17.0
108,1295,epoch,17.0
109,1299,epoch,18.0
110,1349,epoch,18.0
111,1367,epoch,18.0
112,1367,epoch,18.0
113,1399,epoch,19.0
114,1439,epoch,19.0
115,1439,epoch,19.0
116,1449,epoch,20.0
117,1499,epoch,20.0
118,1511,epoch,20.0
119,1511,epoch,20.0
120,1549,epoch,21.0
121,1583,epoch,21.0
122,1583,epoch,21.0
123,1599,epoch,22.0
124,1649,epoch,22.0
125,1655,epoch,22.0
126,1655,epoch,22.0
127,1699,epoch,23.0
128,1727,epoch,23.0
129,1727,epoch,23.0
130,1749,epoch,24.0
131,1799,epoch,24.0
132,1799,epoch,24.0
133,1799,epoch,24.0
134,1849,epoch,25.0
135,1871,epoch,25.0
136,1871,epoch,25.0
137,1899,epoch,26.0
138,1943,epoch,26.0
139,1943,epoch,26.0
140,1949,epoch,27.0
141,1999,epoch,27.0
142,2015,epoch,27.0
143,2015,epoch,27.0
