,step,metric,value
0,0,hp_metric,-1.0
1,49,train_loss_step,1.3967677354812622
2,99,train_loss_step,1.3106969594955444
3,149,train_loss_step,1.2945680618286133
4,199,train_loss_step,1.1149169206619263
5,249,train_loss_step,1.3656153678894043
6,299,train_loss_step,1.2447924613952637
7,349,train_loss_step,1.3175259828567505
8,399,train_loss_step,1.183152198791504
9,449,train_loss_step,1.2135666608810425
10,499,train_loss_step,1.1499017477035522
11,549,train_loss_step,0.9724023938179016
12,599,train_loss_step,1.173698902130127
13,649,train_loss_step,0.909975528717041
14,699,train_loss_step,0.9164959192276001
15,749,train_loss_step,0.9464086294174194
16,799,train_loss_step,1.0050137042999268
17,849,train_loss_step,1.053819179534912
18,899,train_loss_step,1.1450754404067993
19,949,train_loss_step,1.1050359010696411
20,999,train_loss_step,0.9754667282104492
21,1049,train_loss_step,1.0142565965652466
22,1099,train_loss_step,0.9238295555114746
23,1149,train_loss_step,1.0248956680297852
24,1199,train_loss_step,0.8933377861976624
25,1249,train_loss_step,0.9358224272727966
26,1299,train_loss_step,0.9590361714363098
27,1349,train_loss_step,0.8423779606819153
28,1399,train_loss_step,0.8737218976020813
29,1449,train_loss_step,0.8847167491912842
30,1499,train_loss_step,0.9832796454429626
31,1549,train_loss_step,0.9351939558982849
32,1599,train_loss_step,0.8489755988121033
33,1649,train_loss_step,0.9494390487670898
34,1699,train_loss_step,0.9322249293327332
35,1749,train_loss_step,0.8164865970611572
36,1799,train_loss_step,1.195286512374878
37,1849,train_loss_step,0.8674516081809998
38,1899,train_loss_step,0.8624874353408813
39,49,epoch,0.0
40,71,epoch,0.0
41,71,epoch,0.0
42,99,epoch,1.0
43,143,epoch,1.0
44,143,epoch,1.0
45,149,epoch,2.0
46,199,epoch,2.0
47,215,epoch,2.0
48,215,epoch,2.0
49,249,epoch,3.0
50,287,epoch,3.0
51,287,epoch,3.0
52,299,epoch,4.0
53,349,epoch,4.0
54,359,epoch,4.0
55,359,epoch,4.0
56,399,epoch,5.0
57,431,epoch,5.0
58,431,epoch,5.0
59,449,epoch,6.0
60,499,epoch,6.0
61,503,epoch,6.0
62,503,epoch,6.0
63,549,epoch,7.0
64,575,epoch,7.0
65,575,epoch,7.0
66,599,epoch,8.0
67,647,epoch,8.0
68,647,epoch,8.0
69,649,epoch,9.0
70,699,epoch,9.0
71,719,epoch,9.0
72,719,epoch,9.0
73,749,epoch,10.0
74,791,epoch,10.0
75,791,epoch,10.0
76,799,epoch,11.0
77,849,epoch,11.0
78,863,epoch,11.0
79,863,epoch,11.0
80,899,epoch,12.0
81,935,epoch,12.0
82,935,epoch,12.0
83,949,epoch,13.0
84,999,epoch,13.0
85,1007,epoch,13.0
86,1007,epoch,13.0
87,1049,epoch,14.0
88,1079,epoch,14.0
89,1079,epoch,14.0
90,1099,epoch,15.0
91,1149,epoch,15.0
92,1151,epoch,15.0
93,1151,epoch,15.0
94,1199,epoch,16.0
95,1223,epoch,16.0
96,1223,epoch,16.0
97,1249,epoch,17.0
98,1295,epoch,17.0
99,1295,epoch,17.0
100,1299,epoch,18.0
101,1349,epoch,18.0
102,1367,epoch,18.0
103,1367,epoch,18.0
104,1399,epoch,19.0
105,1439,epoch,19.0
106,1439,epoch,19.0
107,1449,epoch,20.0
108,1499,epoch,20.0
109,1511,epoch,20.0
110,1511,epoch,20.0
111,1549,epoch,21.0
112,1583,epoch,21.0
113,1583,epoch,21.0
114,1599,epoch,22.0
115,1649,epoch,22.0
116,1655,epoch,22.0
117,1655,epoch,22.0
118,1699,epoch,23.0
119,1727,epoch,23.0
120,1727,epoch,23.0
121,1749,epoch,24.0
122,1799,epoch,24.0
123,1799,epoch,24.0
124,1799,epoch,24.0
125,1849,epoch,25.0
126,1871,epoch,25.0
127,1871,epoch,25.0
128,1899,epoch,26.0
129,1943,epoch,26.0
130,1943,epoch,26.0
131,71,val_loss,2.4538307189941406
132,143,val_loss,1.3909929990768433
133,215,val_loss,1.231763243675232
134,287,val_loss,1.442574143409729
135,359,val_loss,1.4029556512832642
136,431,val_loss,1.2798213958740234
137,503,val_loss,1.182462215423584
138,575,val_loss,1.2809127569198608
139,647,val_loss,1.127872109413147
140,719,val_loss,1.2661346197128296
141,791,val_loss,1.0802682638168335
142,863,val_loss,1.0448389053344727
