,step,metric,value
0,0,hp_metric,-1.0
1,49,train_loss_step,1.3543355464935303
2,99,train_loss_step,1.4460618495941162
3,149,train_loss_step,1.175674319267273
4,199,train_loss_step,1.3162320852279663
5,249,train_loss_step,1.12782621383667
6,299,train_loss_step,1.2197715044021606
7,349,train_loss_step,1.2760426998138428
8,399,train_loss_step,1.2205990552902222
9,449,train_loss_step,1.2362273931503296
10,499,train_loss_step,1.0971571207046509
11,549,train_loss_step,1.1730692386627197
12,599,train_loss_step,1.070688009262085
13,649,train_loss_step,0.9718547463417053
14,699,train_loss_step,1.2130579948425293
15,749,train_loss_step,1.0831698179244995
16,799,train_loss_step,1.0152931213378906
17,849,train_loss_step,1.0023106336593628
18,899,train_loss_step,1.050300121307373
19,949,train_loss_step,0.9689413905143738
20,999,train_loss_step,0.9821322560310364
21,1049,train_loss_step,1.037352204322815
22,1099,train_loss_step,1.0605729818344116
23,1149,train_loss_step,1.021817684173584
24,1199,train_loss_step,1.1454582214355469
25,1249,train_loss_step,1.0749598741531372
26,1299,train_loss_step,1.0901576280593872
27,1349,train_loss_step,0.9409307837486267
28,1399,train_loss_step,0.9666222929954529
29,1449,train_loss_step,1.1453578472137451
30,1499,train_loss_step,0.9011672735214233
31,1549,train_loss_step,0.9382349252700806
32,1599,train_loss_step,1.0135191679000854
33,1649,train_loss_step,0.9805372357368469
34,1699,train_loss_step,1.0304304361343384
35,1749,train_loss_step,0.9290531277656555
36,1799,train_loss_step,1.0868818759918213
37,1849,train_loss_step,0.8306890726089478
38,1899,train_loss_step,1.012883186340332
39,1949,train_loss_step,0.9665129780769348
40,1999,train_loss_step,1.3656301498413086
41,2049,train_loss_step,0.8806326389312744
42,2099,train_loss_step,0.9631434679031372
43,2149,train_loss_step,0.8711150884628296
44,2199,train_loss_step,0.978365957736969
45,2249,train_loss_step,0.9392520785331726
46,2299,train_loss_step,0.9188934564590454
47,2349,train_loss_step,0.8170210123062134
48,2399,train_loss_step,0.9773598313331604
49,2449,train_loss_step,0.841882050037384
50,2499,train_loss_step,0.8616037964820862
51,2549,train_loss_step,0.7687352895736694
52,2599,train_loss_step,0.8471446633338928
53,2649,train_loss_step,0.9102751016616821
54,2699,train_loss_step,0.8997272253036499
55,2749,train_loss_step,0.826400637626648
56,2799,train_loss_step,0.8900594711303711
57,49,epoch,0.0
58,71,epoch,0.0
59,71,epoch,0.0
60,99,epoch,1.0
61,143,epoch,1.0
62,143,epoch,1.0
63,149,epoch,2.0
64,199,epoch,2.0
65,215,epoch,2.0
66,215,epoch,2.0
67,249,epoch,3.0
68,287,epoch,3.0
69,287,epoch,3.0
70,299,epoch,4.0
71,349,epoch,4.0
72,359,epoch,4.0
73,359,epoch,4.0
74,399,epoch,5.0
75,431,epoch,5.0
76,431,epoch,5.0
77,449,epoch,6.0
78,499,epoch,6.0
79,503,epoch,6.0
80,503,epoch,6.0
81,549,epoch,7.0
82,575,epoch,7.0
83,575,epoch,7.0
84,599,epoch,8.0
85,647,epoch,8.0
86,647,epoch,8.0
87,649,epoch,9.0
88,699,epoch,9.0
89,719,epoch,9.0
90,719,epoch,9.0
91,749,epoch,10.0
92,791,epoch,10.0
93,791,epoch,10.0
94,799,epoch,11.0
95,849,epoch,11.0
96,863,epoch,11.0
97,863,epoch,11.0
98,899,epoch,12.0
99,935,epoch,12.0
100,935,epoch,12.0
101,949,epoch,13.0
102,999,epoch,13.0
103,1007,epoch,13.0
104,1007,epoch,13.0
105,1049,epoch,14.0
106,1079,epoch,14.0
107,1079,epoch,14.0
108,1099,epoch,15.0
109,1149,epoch,15.0
110,1151,epoch,15.0
111,1151,epoch,15.0
112,1199,epoch,16.0
113,1223,epoch,16.0
114,1223,epoch,16.0
115,1249,epoch,17.0
116,1295,epoch,17.0
117,1295,epoch,17.0
118,1299,epoch,18.0
119,1349,epoch,18.0
120,1367,epoch,18.0
121,1367,epoch,18.0
122,1399,epoch,19.0
123,1439,epoch,19.0
124,1439,epoch,19.0
125,1449,epoch,20.0
126,1499,epoch,20.0
127,1511,epoch,20.0
128,1511,epoch,20.0
129,1549,epoch,21.0
130,1583,epoch,21.0
131,1583,epoch,21.0
132,1599,epoch,22.0
133,1649,epoch,22.0
134,1655,epoch,22.0
135,1655,epoch,22.0
136,1699,epoch,23.0
137,1727,epoch,23.0
138,1727,epoch,23.0
139,1749,epoch,24.0
140,1799,epoch,24.0
141,1799,epoch,24.0
142,1799,epoch,24.0
143,1849,epoch,25.0
144,1871,epoch,25.0
145,1871,epoch,25.0
146,1899,epoch,26.0
147,1943,epoch,26.0
148,1943,epoch,26.0
149,1949,epoch,27.0
150,1999,epoch,27.0
151,2015,epoch,27.0
152,2015,epoch,27.0
153,2049,epoch,28.0
154,2087,epoch,28.0
155,2087,epoch,28.0
156,2099,epoch,29.0
157,2149,epoch,29.0
158,2159,epoch,29.0
159,2159,epoch,29.0
160,2199,epoch,30.0
161,2231,epoch,30.0
162,2231,epoch,30.0
163,2249,epoch,31.0
164,2299,epoch,31.0
165,2303,epoch,31.0
166,2303,epoch,31.0
167,2349,epoch,32.0
168,2375,epoch,32.0
169,2375,epoch,32.0
170,2399,epoch,33.0
171,2447,epoch,33.0
172,2447,epoch,33.0
173,2449,epoch,34.0
174,2499,epoch,34.0
175,2519,epoch,34.0
176,2519,epoch,34.0
177,2549,epoch,35.0
178,2591,epoch,35.0
179,2591,epoch,35.0
180,2599,epoch,36.0
181,2649,epoch,36.0
182,2663,epoch,36.0
183,2663,epoch,36.0
184,2699,epoch,37.0
185,2735,epoch,37.0
186,2735,epoch,37.0
187,2749,epoch,38.0
188,2799,epoch,38.0
189,2807,epoch,38.0
190,2807,epoch,38.0
191,71,val_loss,1.9364103078842163
192,143,val_loss,1.3746328353881836
193,215,val_loss,1.430790901184082
194,287,val_loss,1.2450153827667236
195,359,val_loss,1.3766074180603027
196,431,val_loss,1.2343096733093262
197,503,val_loss,1.329806923866272
198,575,val_loss,1.2120838165283203
199,647,val_loss,1.3222239017486572
200,719,val_loss,1.3893556594848633
201,791,val_loss,1.6382869482040405
202,863,val_loss,1.1367850303649902
203,935,val_loss,1.0767260789871216
204,1007,val_loss,1.454910159111023
205,1079,val_loss,1.2376823425292969
206,1151,val_loss,1.2566167116165161
207,1223,val_loss,1.0998786687850952
208,1295,val_loss,1.019109845161438
209,1367,val_loss,1.0274358987808228
210,1439,val_loss,1.0475164651870728
211,1511,val_loss,1.0987666845321655
212,1583,val_loss,1.3048864603042603
213,1655,val_loss,0.9733923077583313
214,1727,val_loss,1.047093152999878
215,1799,val_loss,0.983172595500946
216,1871,val_loss,1.2910183668136597
217,1943,val_loss,0.9832736849784851
218,2015,val_loss,1.1742981672286987
219,2087,val_loss,0.8800275921821594
220,2159,val_loss,1.012620449066162
221,2231,val_loss,1.060421109199524
222,2303,val_loss,1.0489963293075562
223,2375,val_loss,0.9710082411766052
224,2447,val_loss,0.8673772811889648
225,2519,val_loss,0.993843138217926
226,2591,val_loss,0.9332256317138672
227,2663,val_loss,1.0965936183929443
228,2735,val_loss,1.0104457139968872
229,2807,val_loss,0.9827484488487244
230,71,val/iou_class_0,0.0
231,143,val/iou_class_0,0.0
232,215,val/iou_class_0,0.04411904886364937
233,287,val/iou_class_0,0.11825019866228104
234,359,val/iou_class_0,0.13520656526088715
235,431,val/iou_class_0,0.14305447041988373
236,503,val/iou_class_0,0.13215281069278717
237,575,val/iou_class_0,0.14878030121326447
238,647,val/iou_class_0,0.03913916274905205
239,719,val/iou_class_0,0.18944989144802094
240,791,val/iou_class_0,0.05496798828244209
241,863,val/iou_class_0,0.05380147695541382
242,935,val/iou_class_0,0.1309877187013626
243,1007,val/iou_class_0,0.2150508612394333
244,1079,val/iou_class_0,0.256243497133255
245,1151,val/iou_class_0,0.07860246300697327
246,1223,val/iou_class_0,0.13278289139270782
247,1295,val/iou_class_0,0.20147891342639923
248,1367,val/iou_class_0,0.1943088173866272
249,1439,val/iou_class_0,0.17245912551879883
250,1511,val/iou_class_0,0.23969526588916779
251,1583,val/iou_class_0,0.13551567494869232
252,1655,val/iou_class_0,0.1594334989786148
253,1727,val/iou_class_0,0.17014287412166595
254,1799,val/iou_class_0,0.19966579973697662
255,1871,val/iou_class_0,0.18192237615585327
256,1943,val/iou_class_0,0.16889852285385132
257,2015,val/iou_class_0,0.16553188860416412
258,2087,val/iou_class_0,0.2034328579902649
259,2159,val/iou_class_0,0.17503125965595245
260,2231,val/iou_class_0,0.11483403295278549
261,2303,val/iou_class_0,0.15940211713314056
262,2375,val/iou_class_0,0.13582676649093628
263,2447,val/iou_class_0,0.09020408987998962
264,2519,val/iou_class_0,0.11349094659090042
265,2591,val/iou_class_0,0.20462863147258759
266,2663,val/iou_class_0,0.12232235074043274
267,2735,val/iou_class_0,0.09490710496902466
268,2807,val/iou_class_0,0.15105539560317993
269,71,val/iou_class_1,0.0
270,143,val/iou_class_1,0.0
271,215,val/iou_class_1,0.0
272,287,val/iou_class_1,0.0
273,359,val/iou_class_1,6.705558917019516e-05
274,431,val/iou_class_1,0.0
275,503,val/iou_class_1,3.491867028060369e-05
276,575,val/iou_class_1,0.0
277,647,val/iou_class_1,1.2867323675891384e-05
278,719,val/iou_class_1,0.0009837732650339603
279,791,val/iou_class_1,0.0019694380462169647
280,863,val/iou_class_1,0.0002464622666593641
281,935,val/iou_class_1,1.2510085980466101e-05
282,1007,val/iou_class_1,3.2505038689123467e-05
283,1079,val/iou_class_1,0.0
284,1151,val/iou_class_1,6.926173955434933e-05
285,1223,val/iou_class_1,4.288999116397463e-05
286,1295,val/iou_class_1,0.005159517750144005
287,1367,val/iou_class_1,0.00031128479167819023
288,1439,val/iou_class_1,0.000342583836754784
289,1511,val/iou_class_1,0.0004148224543314427
290,1583,val/iou_class_1,0.006786169018596411
291,1655,val/iou_class_1,0.0013237646780908108
292,1727,val/iou_class_1,0.01027675811201334
293,1799,val/iou_class_1,0.01060034055262804
294,1871,val/iou_class_1,0.0
295,1943,val/iou_class_1,0.00430587911978364
296,2015,val/iou_class_1,5.844516181241488e-06
297,2087,val/iou_class_1,0.001788637600839138
298,2159,val/iou_class_1,6.56024130876176e-05
299,2231,val/iou_class_1,0.0018286601407453418
300,2303,val/iou_class_1,0.004576017614454031
301,2375,val/iou_class_1,0.000745631696190685
302,2447,val/iou_class_1,0.03690718114376068
303,2519,val/iou_class_1,0.02754485048353672
304,2591,val/iou_class_1,0.017353298142552376
305,2663,val/iou_class_1,0.0023774022702127695
306,2735,val/iou_class_1,0.02541329711675644
307,2807,val/iou_class_1,0.01119652297347784
308,71,val/iou_class_2,0.1959514170885086
309,143,val/iou_class_2,0.2989772856235504
310,215,val/iou_class_2,0.19593356549739838
311,287,val/iou_class_2,0.24851535260677338
312,359,val/iou_class_2,0.18308128416538239
313,431,val/iou_class_2,0.22808994352817535
314,503,val/iou_class_2,0.2390739470720291
315,575,val/iou_class_2,0.24608510732650757
316,647,val/iou_class_2,0.26361772418022156
317,719,val/iou_class_2,0.21914978325366974
318,791,val/iou_class_2,0.26731374859809875
319,863,val/iou_class_2,0.30892303586006165
320,935,val/iou_class_2,0.335529088973999
321,1007,val/iou_class_2,0.16573868691921234
322,1079,val/iou_class_2,0.2311428338289261
323,1151,val/iou_class_2,0.25704267621040344
324,1223,val/iou_class_2,0.294870525598526
325,1295,val/iou_class_2,0.3415168523788452
326,1367,val/iou_class_2,0.2815169095993042
327,1439,val/iou_class_2,0.33229854702949524
328,1511,val/iou_class_2,0.2763345241546631
329,1583,val/iou_class_2,0.2464078664779663
330,1655,val/iou_class_2,0.37111902236938477
331,1727,val/iou_class_2,0.2886844277381897
332,1799,val/iou_class_2,0.3703998625278473
333,1871,val/iou_class_2,0.27155953645706177
334,1943,val/iou_class_2,0.35468897223472595
335,2015,val/iou_class_2,0.3286721110343933
336,2087,val/iou_class_2,0.4035094976425171
337,2159,val/iou_class_2,0.35930466651916504
338,2231,val/iou_class_2,0.35487642884254456
339,2303,val/iou_class_2,0.3522115647792816
340,2375,val/iou_class_2,0.39895057678222656
341,2447,val/iou_class_2,0.40642881393432617
342,2519,val/iou_class_2,0.38291946053504944
343,2591,val/iou_class_2,0.34778550267219543
344,2663,val/iou_class_2,0.3244876563549042
345,2735,val/iou_class_2,0.35677579045295715
346,2807,val/iou_class_2,0.40011081099510193
347,71,val/iou_class_3,0.22546029090881348
348,143,val/iou_class_3,0.23567090928554535
349,215,val/iou_class_3,0.1734931915998459
350,287,val/iou_class_3,0.27521783113479614
351,359,val/iou_class_3,0.25994816422462463
352,431,val/iou_class_3,0.3171010911464691
353,503,val/iou_class_3,0.16987501084804535
354,575,val/iou_class_3,0.28004804253578186
355,647,val/iou_class_3,0.23888039588928223
356,719,val/iou_class_3,0.28470146656036377
357,791,val/iou_class_3,0.3416229784488678
358,863,val/iou_class_3,0.24188919365406036
359,935,val/iou_class_3,0.2839924991130829
360,1007,val/iou_class_3,0.23570460081100464
361,1079,val/iou_class_3,0.2693624198436737
362,1151,val/iou_class_3,0.3031727373600006
363,1223,val/iou_class_3,0.34080803394317627
364,1295,val/iou_class_3,0.33426523208618164
365,1367,val/iou_class_3,0.33879855275154114
366,1439,val/iou_class_3,0.33096203207969666
367,1511,val/iou_class_3,0.3138462007045746
368,1583,val/iou_class_3,0.28398439288139343
369,1655,val/iou_class_3,0.3479264974594116
370,1727,val/iou_class_3,0.398555725812912
371,1799,val/iou_class_3,0.35839781165122986
372,1871,val/iou_class_3,0.29225388169288635
373,1943,val/iou_class_3,0.36191031336784363
374,2015,val/iou_class_3,0.2726823091506958
375,2087,val/iou_class_3,0.38037487864494324
376,2159,val/iou_class_3,0.3098713159561157
377,2231,val/iou_class_3,0.3415205776691437
378,2303,val/iou_class_3,0.36234042048454285
379,2375,val/iou_class_3,0.33569517731666565
380,2447,val/iou_class_3,0.39447593688964844
381,2519,val/iou_class_3,0.368850976228714
382,2591,val/iou_class_3,0.3229864835739136
383,2663,val/iou_class_3,0.312273770570755
384,2735,val/iou_class_3,0.35706591606140137
385,2807,val/iou_class_3,0.3763241767883301
386,71,val/iou_class_4,0.0010298347333446145
387,143,val/iou_class_4,0.13111786544322968
388,215,val/iou_class_4,0.053719282150268555
389,287,val/iou_class_4,0.23670655488967896
390,359,val/iou_class_4,0.1957494616508484
391,431,val/iou_class_4,0.22565345466136932
392,503,val/iou_class_4,0.20849663019180298
393,575,val/iou_class_4,0.19038026034832
394,647,val/iou_class_4,0.2747807800769806
395,719,val/iou_class_4,0.23160164058208466
396,791,val/iou_class_4,0.23973344266414642
397,863,val/iou_class_4,0.2938358187675476
398,935,val/iou_class_4,0.32399943470954895
399,1007,val/iou_class_4,0.23491422832012177
400,1079,val/iou_class_4,0.27943864464759827
401,1151,val/iou_class_4,0.26973268389701843
402,1223,val/iou_class_4,0.16866843402385712
403,1295,val/iou_class_4,0.28606700897216797
404,1367,val/iou_class_4,0.3181206285953522
405,1439,val/iou_class_4,0.350670725107193
